State,Year,Month,Provisional Number of Live Births
ALABAMA,2016,January,4816
ALABAMA,2016,February,4690
ALABAMA,2016,March,4847
ALABAMA,2016,April,4536
ALABAMA,2016,May,4789
ALABAMA,2016,June,5057
ALABAMA,2016,July,5038
ALABAMA,2016,August,5331
ALABAMA,2016,September,5242
ALASKA,2016,January,943
ALASKA,2016,February,829
ALASKA,2016,March,966
ALASKA,2016,April,915
ALASKA,2016,May,959
ALASKA,2016,June,986
ALASKA,2016,July,957
ALASKA,2016,August,952
ALASKA,2016,September,951
ARIZONA,2016,January,7082
ARIZONA,2016,February,6765
ARIZONA,2016,March,6829
ARIZONA,2016,April,6576
ARIZONA,2016,May,6716
ARIZONA,2016,June,6756
ARIZONA,2016,July,7058
ARIZONA,2016,August,7705
ARIZONA,2016,September,7705
ARKANSAS,2016,January,3065
ARKANSAS,2016,February,2987
ARKANSAS,2016,March,3134
ARKANSAS,2016,April,2937
ARKANSAS,2016,May,2986
ARKANSAS,2016,June,3208
ARKANSAS,2016,July,3337
ARKANSAS,2016,August,3484
ARKANSAS,2016,September,3272
CALIFORNIA,2016,January,39324
CALIFORNIA,2016,February,37798
CALIFORNIA,2016,March,40846
CALIFORNIA,2016,April,38625
CALIFORNIA,2016,May,39524
CALIFORNIA,2016,June,39726
CALIFORNIA,2016,July,41013
CALIFORNIA,2016,August,44954
CALIFORNIA,2016,September,44148
COLORADO,2016,January,5358
COLORADO,2016,February,4967
COLORADO,2016,March,5559
COLORADO,2016,April,5444
COLORADO,2016,May,5686
COLORADO,2016,June,5755
COLORADO,2016,July,5820
COLORADO,2016,August,6042
COLORADO,2016,September,5845
CONNECTICUT,2016,January,2871
CONNECTICUT,2016,February,2731
CONNECTICUT,2016,March,3009
CONNECTICUT,2016,April,3080
CONNECTICUT,2016,May,3193
CONNECTICUT,2016,June,3115
CONNECTICUT,2016,July,3169
CONNECTICUT,2016,August,3273
CONNECTICUT,2016,September,3109
DELAWARE,2016,January,882
DELAWARE,2016,February,868
DELAWARE,2016,March,1002
DELAWARE,2016,April,893
DELAWARE,2016,May,948
DELAWARE,2016,June,974
DELAWARE,2016,July,943
DELAWARE,2016,August,929
DELAWARE,2016,September,943
DISTRICT OF COLUMBIA,2016,January,756
DISTRICT OF COLUMBIA,2016,February,744
DISTRICT OF COLUMBIA,2016,March,827
DISTRICT OF COLUMBIA,2016,April,718
DISTRICT OF COLUMBIA,2016,May,840
DISTRICT OF COLUMBIA,2016,June,851
DISTRICT OF COLUMBIA,2016,July,864
DISTRICT OF COLUMBIA,2016,August,879
DISTRICT OF COLUMBIA,2016,September,861
FLORIDA,2016,January,18290
FLORIDA,2016,February,17832
FLORIDA,2016,March,18537
FLORIDA,2016,April,17512
FLORIDA,2016,May,17941
FLORIDA,2016,June,18355
FLORIDA,2016,July,19066
FLORIDA,2016,August,20126
FLORIDA,2016,September,19648
GEORGIA,2016,January,10633
GEORGIA,2016,February,10382
GEORGIA,2016,March,10774
GEORGIA,2016,April,10025
GEORGIA,2016,May,10531
GEORGIA,2016,June,10795
GEORGIA,2016,July,11168
GEORGIA,2016,August,11475
GEORGIA,2016,September,11218
HAWAII,2016,January,1489
HAWAII,2016,February,1486
HAWAII,2016,March,1511
HAWAII,2016,April,1460
HAWAII,2016,May,1488
HAWAII,2016,June,1451
HAWAII,2016,July,1502
HAWAII,2016,August,1614
HAWAII,2016,September,1557
IDAHO,2016,January,1720
IDAHO,2016,February,1709
IDAHO,2016,March,2020
IDAHO,2016,April,1847
IDAHO,2016,May,1898
IDAHO,2016,June,1938
